intent,snippet
In Pandas how do I convert a string of date strings to datetime objects and put them in a DataFrame?,pd.to_datetime(pd.Series(date_stngs))
Print the complete string of a pandas dataframe,"df.iloc[2, 0]"
How to change the font size on a matplotlib plot,matplotlib.rcParams.update({'font.size': 22})
Convert Python dict into a dataframe,"pd.DataFrame(list(d.items()), columns=['Date', 'DateValue'])"
Pandas: Elementwise multiplication of two dataframes,"pd.DataFrame(df.values * df2.values, columns=df.columns, index=df.index)"
How to extract a floating number from a string,"re.findall('\\d+\\.\\d+', 'Current Level: 13.4 db.')"
How to extract a floating number from a string,"re.findall('[-+]?\\d*\\.\\d+|\\d+', 'Current Level: -13.2 db or 14.2 or 3')"
Convert List to a list of tuples python,"zip(it, it, it)"
How to lowercase a python dataframe string column if it has missing values?,df['x'].str.lower()
python append to array in json object,"jsobj['a']['b']['e'].append({'f': var6, 'g': var7, 'h': var8})"
Most Pythonic way to concatenate strings,""""""""""""".join(lst)"
Python: Sum values in a dictionary based on condition,sum(v for v in list(d.values()) if v > 0)
Flask application traceback doesn't show up in server log,app.run(debug=True)
How to drop a list of rows from Pandas dataframe?,"df.drop(df.index[[1, 3]], inplace=True)"
pandas DataFrame: replace nan values with average of columns,"df.apply(lambda x: x.fillna(x.mean()), axis=0)"
How to extract from a list of objects a list of specific attribute?,[o.my_attr for o in my_list]
python get time stamp on file in mm/dd/yyyy format,"time.strftime('%m/%d/%Y', time.gmtime(os.path.getmtime(file)))"
Python: Check if one dictionary is a subset of another larger dictionary,all(item in list(superset.items()) for item in list(subset.items()))
Python: for loop in index assignment,[str(wi) for wi in wordids]
Indexing a pandas dataframe by integer,df2 = df.reset_index()
Convert datetime object to a String of date only in Python,dt.strftime('%m/%d/%Y')
Python Add Comma Into Number String,"print('Total cost is: ${:,.2f}'.format(TotalAmount))"
Sum of Every Two Columns in Pandas dataframe,"df.groupby(np.arange(len(df.columns)) // 2 + 1, axis=1).sum().add_prefix('s')"
creating list of random numbers in python,randomList = [random.random() for _ in range(10)]
beautifulsoup can't find href in file using regular expression,"print(soup.find('a', href=re.compile('.*follow\\?page.*')))"
"In Python, why won't something print without a newline?",sys.stdout.flush()
How to get a random value in python dictionary,"country, capital = random.choice(list(d.items()))"
Is there a function in python to split a word into a list?,list('Word to Split')
Regex: How to match words without consecutive vowels?,"[w for w in open('file.txt') if not re.search('[aeiou]{2}', w)]"
Using a RegEx to match IP addresses in Python,"pat = re.compile('^\\d{1,3}\\.\\d{1,3}\\.\\d{1,3}\\.\\d{1,3}$')"
How to execute a file within the python interpreter?,"exec(compile(open('filename.py').read(), 'filename.py', 'exec'))"
Returning distinct rows in SQLAlchemy with SQLite,session.query(Tag).distinct(Tag.name).group_by(Tag.name).count()
Remove NULL columns in a dataframe Pandas?,"df = df.dropna(axis=1, how='all')"
Python counting elements of a list within a list,all(x.count(1) == 3 for x in L)
Comparing elements between elements in two lists of tuples,[x[0] for x in l1 if any(x[0] == y[0] for y in l2)]
how to clear/delete the Textbox in tkinter python on Ubuntu,"tex.delete('1.0', END)"
Python convert long to date,datetime.datetime.fromtimestamp(myNumber).strftime('%Y-%m-%d %H:%M:%S')
How can I start a Python thread FROM C++?,system('python myscript.py')
sorting a list with objects of a class as its items,your_list.sort(key=operator.attrgetter('anniversary_score'))
sorting a list with objects of a class as its items,your_list.sort(key=lambda x: x.anniversary_score)
How can I convert a tensor into a numpy array in TensorFlow?,"print(type(tf.Session().run(tf.constant([1, 2, 3]))))"
"in Python, How to join a list of tuples into one list?",list(itertools.chain(*a))
How do I pythonically set a value in a dictionary if it is None?,"count.setdefault('a', 0)"
Python Pandas : group by in group by and average?,df.groupby(['cluster']).mean()
"from list of integers, get number closest to a given value","min(myList, key=lambda x: abs(x - myNumber))"
Find array item in a string,any(x in string for x in search)
Find string with regular expression in python,print(pattern.search(url).group(1))
"How do I convert all strings (like ""Fault"") and into a unique float?",(s.factorize()[0] + 1).astype('float')
Subtract values in one list from corresponding values in another list - Python,"C = [(a - b) for a, b in zip(A, B)]"
How to derive the week start for a given (iso) weeknumber / year in python,"datetime.datetime.strptime('2011, 4, 0', '%Y, %U, %w')"
Python: How do I convert an array of strings to an array of numbers?,"map(int, ['1', '-1', '1'])"
"How to create datetime object from ""16SEP2012"" in python","datetime.datetime.strptime('16Sep2012', '%d%b%Y')"
How do I use a dictionary to update fields in Django models?,Book.objects.filter(pk=pk).update(**d)
How do I use a dictionary to update fields in Django models?,Book.objects.create(**d)
Precision in python,print('{0:.2f}'.format(your_number))
Python: How to generate a 12-digit random number?,"random.randint(100000000000, 999999999999)"
Python: How to generate a 12-digit random number?,"int(''.join(str(random.randint(0, 9)) for _ in range(12)))"
Python: How to generate a 12-digit random number?,""""""""""""".join(str(random.randint(0, 9)) for _ in range(12))"
Python: How to generate a 12-digit random number?,"'%0.12d' % random.randint(0, 999999999999)"
How to remove specific elements in a numpy array,"numpy.delete(a, index)"
Sort a list based on dictionary values in python?,"sorted(trial_list, key=lambda x: trial_dict[x])"
read a single character from the user,sys.stdin.read(1)
How to get a list of matchable characters from a regex class,"print(re.findall(pattern, x))"
how to get the context of a search in BeautifulSoup?,k = soup.find(text=re.compile('My keywords')).parent.text
Convert a row in pandas into list,"df.apply(lambda x: x.tolist(), axis=1)"
Convert a 1D array to a 2D array in numpy,"B = np.reshape(A, (-1, 2))"
Flask - How to make an app externally visible through a router?,"app.run(host='192.168.0.58', port=9000, debug=False)"
Stdout encoding in python,print('\xc5\xc4\xd6'.encode('UTF8'))
Best way to get the nth element of each tuple from a list of tuples in Python,[x[0] for x in G]
Regular expression matching all but a string,"re.findall('-(?!aa-|bb-)([^-]+)', string)"
Regular expression matching all but a string,"re.findall('-(?!aa|bb)([^-]+)', string)"
Removing entries from a dictionary based on values,"{k: v for k, v in list(hand.items()) if v}"
Removing entries from a dictionary based on values,"dict((k, v) for k, v in hand.items() if v)"
Python sorting - A list of objects,"sorted(L, key=operator.itemgetter('resultType'))"
Python sorting - A list of objects,s.sort(key=operator.attrgetter('resultType'))
Python sorting - A list of objects,somelist.sort(key=lambda x: x.resultType)
pandas joining multiple dataframes on columns,"df1.merge(df2, on='name').merge(df3, on='name')"
random Decimal in python,decimal.Decimal(random.randrange(10000)) / 100
list all files of a directory,"onlyfiles = [f for f in listdir(mypath) if isfile(join(mypath, f))]"
list all files of a directory,"f = []
for (dirpath, dirnames, filenames) in walk(mypath):
    f.extend(filenames)
    break"
list all files of a directory,print(glob.glob('/home/adam/*.txt'))
list all files of a directory,os.listdir('somedirectory')
psycopg2: insert multiple rows with one query,"cur.executemany('INSERT INTO table VALUES(%s,%s,%s,%s,%s,%s,%s,%s,%s)', tup)"
get key by value in dictionary with same value in python?,print([key for key in d if d[key] == 1])
get key by value in dictionary with same value in python?,"print([key for key, value in d.items() if value == 1])"
get key by value in dictionary with same value in python?,"print([key for key, value in list(d.items()) if value == 1])"
What is the best way to create a string array in python?,strs = ['' for x in range(size)]
generate pdf from markdown file,"with open(input_filename, 'r') as f:
    html_text = markdown(f.read(), output_format='html4')
pdfkit.from_string(html_text, output_filename)"
Remove duplicate dict in list in Python,[dict(t) for t in set([tuple(d.items()) for d in l])]
How to set the timezone in Django?,TIME_ZONE = 'Europe/Istanbul'
Appending to list in Python dictionary,"dates_dict.setdefault(key, []).append(date)"
How to do this GROUP BY query in Django's ORM with annotate and aggregate,Article.objects.values('pub_date').annotate(article_count=Count('title'))
How to clear Tkinter Canvas?,canvas.delete('all')
How to add a specific number of characters to the end of string in Pandas?,"s = pd.Series(['A', 'B', 'A1R', 'B2', 'AABB4'])"
How do I translate a ISO 8601 datetime string into a Python datetime object?,"datetime.datetime.strptime('2007-03-04T21:08:12', '%Y-%m-%dT%H:%M:%S')"
How to sort a list according to another list?,a.sort(key=lambda x: b.index(x[0]))
How to sort a list according to another list?,a.sort(key=lambda x_y: b.index(x_y[0]))
Matplotlib - How to plot a high resolution graph?,plt.savefig('filename.png')
Matplotlib - How to plot a high resolution graph?,"plt.savefig('filename.png', dpi=300)"
How to get output of exe in python script?,p1.communicate()[0]
How to get output of exe in python script?,"output = subprocess.Popen(['mycmd', 'myarg'], stdout=PIPE).communicate()[0]"
Using BeautifulSoup to search html for string,soup.body.findAll(text='Python')
Using BeautifulSoup to search html for string,soup.body.findAll(text='Python Jobs')
Python: sorting items in a dictionary by a part of a key?,"sorted(list(d.items()), key=lambda name_num: (name_num[0].rsplit(None, 1)[0], name_num[1]))"
Find non-common elements in lists,"set([1, 2, 3]) ^ set([3, 4, 5])"
retrieving list items from request.POST in django/python,request.POST.getlist('pass_id')
How do I remove dicts from a list with duplicate fields in python?,"list(dict((x['id'], x) for x in L).values())"
Merge Columns within a DataFrame that have the Same Name,"df.groupby(df.columns, axis=1).sum()"
python dict comprehension with two ranges,"dict(zip(list(range(1, 5)), list(range(7, 11))))"
How to turn a boolean array into index array in numpy,numpy.where(mask)
case insensitive string comparison,"if (string1.lower() == string2.lower()):
    print('The strings are the same (case insensitive)')
else:
    print('The strings are not the same (case insensitive)')"
case insensitive string comparison,"if (string1.lower() == string2.lower()):
    pass"
case insensitive string comparison,(string1.lower() == string2.lower())
case insensitive string comparison,(first.lower() == second.lower())
case insensitive string comparison,(first.upper() == second.upper())
Taking the results of a bash command and using it in python,"os.system(""awk '{print $10, $11}' test.txt > test2.txt"")"
How to remove multiple indexes from a list at the same time?,del my_list[2:6]
How to convert a string to its Base-10 representation?,"int(s.encode('hex'), 16)"
Python regular expression with codons,"re.findall('TAA(?:[ATGC]{3})+?TAA', seq)"
Sorting a set of values,"sorted(s, key=float)"
convert an int to a hex string,hex(65)
Simple way to append a pandas series with same index,a.append(b).reset_index(drop=True)
Simple way to append a pandas series with same index,"pd.concat([a, b], ignore_index=True)"
"In Python, is there a concise way to use a list comprehension with multiple iterators?","[(i, j) for i in range(1, 3) for j in range(1, 5)]"
sorting values of python dict using sorted builtin function,"sorted(iter(mydict.items()), key=itemgetter(1), reverse=True)"
How can I select 'last business day of the month' in Pandas?,"pd.date_range('1/1/2014', periods=12, freq='BM')"
How do I disable the security certificate check in Python requests,"requests.get('https://kennethreitz.com', verify=False)"
"dropping a row in pandas with dates indexes, python",df.ix[:-1]
string contains substring,"if ('blah' not in somestring):
    pass"
string contains substring,"if (needle in haystack):
    pass"
string contains substring,string.find('substring')
string contains substring method,"if (s.find('is') == (-1)):
    print(""No 'is' here!"")
else:
    print(""Found 'is' in the string."")"
Extract first and last row of a dataframe in pandas,"pd.concat([df.head(1), df.tail(1)])"
Django - Filter queryset by CharField value length,MyModel.objects.extra(where=['CHAR_LENGTH(text) > 254'])
Django - Filter queryset by CharField value length,MyModel.objects.filter(text__regex='^.{254}.*')
Best way to count the number of rows with missing values in a pandas DataFrame,"sum(df.apply(lambda x: sum(x.isnull().values), axis=1) > 0)"
Sorting while preserving order in python,"sorted(enumerate(a), key=lambda x: x[1])"
How to set the font size of a Canvas' text item?,"canvas.create_text(x, y, font=('Purisa', 12), text=k)"
Python: How to use a list comprehension here?,[y['baz'] for x in foos for y in x['bar']]
pandas read csv with extra commas in column,"df = pd.read_csv('comma.csv', quotechar=""'"")"
avoiding regex in pandas str.replace,"df['a'] = df['a'].str.replace('in.', ' in. ')"
Finding the index of elements based on a condition using python list comprehension,[i for i in range(len(a)) if a[i] > 2]
check if a variable exists,('myVar' in locals())
check if a variable exists,('myVar' in globals())
check if a variable exists,"hasattr(obj, 'attr_name')"
check if a variable exists,"if ('myVar' in locals()):
    pass"
check if a variable exists,"if ('myVar' in globals()):
    pass"
Python lambda function,"lambda x, y: x + y"
What's the shortest way to count the number of items in a generator/iterator?,sum(1 for i in it)
how to get tuples from lists using list comprehension in python,"[(x, lst2[i]) for i, x in enumerate(lst)]"
how to get tuples from lists using list comprehension in python,"[(i, j) for i, j in zip(lst, lst2)]"
how to get tuples from lists using list comprehension in python,"[(lst[i], lst2[i]) for i in range(len(lst))]"
How do I convert a hex triplet to an RGB tuple and back?,"struct.unpack('BBB', rgbstr.decode('hex'))"
Check if something is not in a list,"(3 not in [2, 3, 4])"
Check if something is not in a list,"((2, 3) not in [(2, 3), (5, 6), (9, 1)])"
Check if something is not in a list,"((2, 3) not in [(2, 7), (7, 3), 'hi'])"
Check if something is not in a list,"(3 not in [4, 5, 6])"
"Create new list by taking first item from first list, and last item from second list","[value for pair in zip(a, b[::-1]) for value in pair]"
Remove one column for a numpy array,"b = np.delete(a, -1, 1)"
"Python mySQL Update, Working but not updating table",dbb.commit()
How do I join two dataframes based on values in selected columns?,"pd.merge(a, b, on=['A', 'B'], how='outer')"
How to change QPushButton text and background color,setStyleSheet('QPushButton {background-color: #A3C1DA; color: red;}')
Finding the average of a list,sum(l) / float(len(l))
Python: Finding a (string) key in a dictionary that contains a substring,"[(k, v) for k, v in D.items() if 'Light' in k]"
How do I use a MD5 hash (or other binary data) as a key name?,k = hashlib.md5('thecakeisalie').hexdigest()
How to get only the last part of a path in Python?,os.path.basename(os.path.normpath('/folderA/folderB/folderC/folderD/'))
Sorting datetime objects while ignoring the year?,"birthdays.sort(key=lambda d: (d.month, d.day))"
How do I extract table data in pairs using BeautifulSoup?,[[td.findNext(text=True) for td in tr.findAll('td')] for tr in rows]
"python: rstrip one exact string, respecting order","""""""Boat.txt.txt"""""".replace('.txt', '')"
Python Pandas: How to get the row names from index of a dataframe?,list(df.index)
Python Pandas: How to get the row names from index of a dataframe?,df.index
List of all unique characters in a string?,""""""""""""".join(list(OrderedDict.fromkeys('aaabcabccd').keys()))"
List of all unique characters in a string?,list(set('aaabcabccd'))
List of all unique characters in a string?,""""""""""""".join(set('aaabcabccd'))"
Find rows with non zero values in a subset of columns in pandas dataframe,"df.loc[(df.loc[:, (df.dtypes != object)] != 0).any(1)]"
upload file with Python Mechanize,"br.form.add_file(open(filename), 'text/plain', filename)"
Multiple 'in' operators in Python?,"all(word in d for word in ['somekey', 'someotherkey', 'somekeyggg'])"
How to hide output of subprocess in Python 2.7,"subprocess.check_output(['espeak', text], stderr=subprocess.STDOUT)"
How to replace NaNs by preceding values in pandas DataFrame?,"df.fillna(method='ffill', inplace=True)"
How to create range of numbers in Python like in MATLAB,"print(np.linspace(1, 3, num=4, endpoint=False))"
How to create range of numbers in Python like in MATLAB,"print(np.linspace(1, 3, num=5))"
Symlinks on windows?,"kdll.CreateSymbolicLinkW('D:\\testdirLink', 'D:\\testdir', 1)"
Python: slicing a multi-dimensional array,"slice = [arr[i][0:2] for i in range(0, 2)]"
Upload files to Google cloud storage from appengine app,"upload_url = blobstore.create_upload_url('/upload', gs_bucket_name='my_bucket')"
Change directory to the directory of a Python script,os.chdir(os.path.dirname(__file__))
Call a function with argument list in python,func(*args)
"Pandas DataFrame, how do i split a column into two","df['AB'].str.split(' ', 1, expand=True)"
"Pandas DataFrame, how do i split a column into two","df['A'], df['B'] = df['AB'].str.split(' ', 1).str"
Sorting Python list based on the length of the string,"print(sorted(xs, key=len))"
Sorting Python list based on the length of the string,"xs.sort(lambda x, y: cmp(len(x), len(y)))"
Sorting Python list based on the length of the string,xs.sort(key=lambda s: len(s))
how to plot arbitrary markers on a pandas data series?,ts.plot(marker='.')
get all combination of n binary value,"lst = list(itertools.product([0, 1], repeat=n))"
get all combination of n binary value,"lst = map(list, itertools.product([0, 1], repeat=n))"
get all combination of n binary value,"bin = [0, 1]
[(x, y, z) for x in bin for y in bin for z in bin]"
get all combination of n binary value,"lst = list(itertools.product([0, 1], repeat=3))"
Append string to the start of each value in a said column of a pandas dataframe (elegantly),df['col'] = 'str' + df['col'].astype(str)
How to get a variable name as a string in Python?,"dict((name, eval(name)) for name in ['some', 'list', 'of', 'vars'])"
How to add a colorbar for a hist2d plot,"plt.colorbar(im, ax=ax)"
How to get every element in a list of list of lists?,[a for c in Cards for b in c for a in b]
Sorting dictionary keys in python,"sorted(d, key=d.get)"
How to count the number of occurences of `None` in a list?,print(len([x for x in lst if x is not None]))
Accessing dictionary by key in Django template,{{json.key1}}
Get unique values from a list in python,mynewlist = list(myset)
Get unique values from a list in python,"set(['a', 'b', 'c', 'd'])"
Python: A4 size for a plot,"figure(figsize=(11.69, 8.27))"
How to get everything after last slash in a URL?,"url.rsplit('/', 1)"
How to get everything after last slash in a URL?,"url.rsplit('/', 1)[-1]"
how to read a file in other directory in python,"x_file = open(os.path.join(direct, '5_1.txt'), 'r')"
How to create a list with the characters of a string?,list('5+6')
Flattening a list of NumPy arrays?,np.concatenate(input_list).ravel().tolist()
Converting a dict into a list,print([y for x in list(dict.items()) for y in x])
Converting a dict into a list,[y for x in list(dict.items()) for y in x]
How to pull a random record using Django's ORM?,MyModel.objects.order_by('?').first()
change current working directory in python,os.chdir('chapter3')
change current working directory in python,os.chdir('C:\\Users\\username\\Desktop\\headfirstpython\\chapter3')
change current working directory in python,os.chdir('.\\chapter3')
How to create single Python dict from a list of dicts by summing values with common keys?,"dict((key, sum(d[key] for d in dictList)) for key in dictList[0])"
How to sort pandas data frame using values from several columns?,"df.sort(['c1', 'c2'], ascending=[True, True])"
Converting string series to float list,floats = [float(x) for x in s.split()]
Converting string series to float list,"floats = map(float, s.split())"
"How to set ""step"" on axis X in my figure in matplotlib python 2.6.6?","plt.xticks([1, 2, 3, 4, 5])"
read from stdin,"for line in fileinput.input():
    pass"
read from stdin,"for line in sys.stdin:
    pass"
How to check if a value exists in a dictionary (python),'one' in list(d.values())
How to check if a value exists in a dictionary (python),'one' in iter(d.values())
Calling a parent class constructor from a child class in python,"super(Instructor, self).__init__(name, year)"
how to create a dictionary using two lists in python?,"dict(zip(x, y))"
Sorting a list of dicts by dict values,"sorted(a, key=lambda i: list(i.values())[0], reverse=True)"
Sorting a list of dicts by dict values,"sorted(a, key=dict.values, reverse=True)"
pandas: how to do multiple groupby-apply operations,"df.groupby(level=0).agg(['sum', 'count', 'std'])"
How to add multiple values to a dictionary key in python?,"a.setdefault('somekey', []).append('bob')"
Python - sum values in dictionary,sum(item['gold'] for item in example_list)
Python - sum values in dictionary,sum([item['gold'] for item in example_list])
Python - sum values in dictionary,sum(item['gold'] for item in myLIst)
writing string to a file on a new line everytime?,f.write('text to write\n')
writing string to a file on a new line everytime?,file.write('My String\n')
Finding consecutive segments in a pandas data frame,df.reset_index().groupby('A')['index'].apply(np.array)
Python - how to refer to relative paths of resources when working with code repository,"fn = os.path.join(os.path.dirname(__file__), 'my_file')"
How to retrieve an element from a set without removing it?,e = next(iter(s))
How to execute a command prompt command from python,os.system('dir c:\\')
How to auto-scroll a gtk.scrolledwindow?,"self.treeview.connect('size-allocate', self.treeview_changed)"
Python: Find in list,"3 in [1, 2, 3]"
Convert date format python,"datetime.datetime.strptime('10/05/2012', '%d/%m/%Y').strftime('%Y-%m-%d')"
python : how to convert string literal to raw string literal?,"s = s.replace('\\', '\\\\')"
Get output of python script from within python script,print(proc.communicate()[0])
Getting pandas dataframe from list of nested dictionaries,"pd.concat([pd.DataFrame(l) for l in my_list], axis=1).T"
Delete Column in Pandas based on Condition,"df.loc[:, ((df != 0).any(axis=0))]"
How to sort multidimensional array by column?,"sorted(a, key=lambda x: x[1])"
string to list conversion in python,"[x.strip() for x in s.split(',')]"
Get list item by attribute in Python,items = [item for item in container if item.attribute == value]
Python: Write a list of tuples to a file,"open('filename', 'w').write('\n'.join('%s %s' % x for x in mylist))"
Python regex to match multiple times,"pattern = re.compile('(?:review: )?(http://url.com/(\\d+))\\s?', re.IGNORECASE)"
How do I read a text file into a string variable in Python,"str = open('very_Important.txt', 'r').read()"
Grouping dataframes in pandas?,"df.groupby(['A', 'B'])['C'].unique()"
read a file line by line into a list,"with open(fname) as f:
    content = f.readlines()"
read a file line by line into a list,"with open('filename') as f:
    lines = f.readlines()"
read a file line by line into a list,lines = [line.rstrip('\n') for line in open('filename')]
read a file line by line into a list,"with open('file.txt', 'r') as ins:
    array = []
    for line in ins:
        array.append(line)"
Convert DataFrame column type from string to datetime,df['col'] = pd.to_datetime(df['col'])
Can a list of all member-dict keys be created from a dict of dicts using a list comprehension?,[k for d in list(foo.values()) for k in d]
Possible to get user input without inserting a new line?,"print('Hello, {0}, how do you do?'.format(input('Enter name here: ')))"
Create Pandas DataFrame from txt file with specific pattern,"df = pd.read_csv('filename.txt', sep=';', names=['Region Name'])"
Pandas: How can I use the apply() function for a single column?,df['a'] = df['a'].apply(lambda x: x + 1)
How to check whether the system is FreeBSD in a python script?,platform.system()
How to sort python list of strings of numbers,"a = sorted(a, key=lambda x: float(x))"
Finding words after keyword in python,"re.search('name (.*)', s)"
Removing _id element from Pymongo results,"db.collection.find({}, {'_id': False})"
How do you extract a column from a multi-dimensional array?,[row[1] for row in A]
How do you extract a column from a multi-dimensional array?,[row[0] for row in a]
Python - how to sort a list of numerical values in ascending order,"sorted(['10', '3', '2'], key=int)"
How can I tell if a file is a descendant of a given directory?,"os.path.commonprefix(['/the/dir/', os.path.realpath(filename)]) == '/the/dir/'"
Python: How to check a string for substrings from a list?,any(substring in string for substring in substring_list)
Construct pandas DataFrame from list of tuples,"df = pandas.DataFrame(data, columns=['R_Number', 'C_Number', 'Avg', 'Std'])"
How to find and replace nth occurence of word in a sentence using python regular expression?,"re.sub('^((?:(?!cat).)*cat(?:(?!cat).)*)cat', '\\1Bull', s)"
How to find and replace nth occurence of word in a sentence using python regular expression?,"re.sub('^((.*?cat.*?){1})cat', '\\1Bull', s)"
Sort list of strings by integer suffix in python,"sorted(the_list, key=lambda k: int(k.split('_')[1]))"
Sort list of strings by integer suffix in python,"sorted(the_list, key=lambda x: int(x.split('_')[1]))"
How to group similar items in a list?,"[list(g) for _, g in itertools.groupby(test, lambda x: x.split('_')[0])]"
How to group similar items in a list?,"[list(g) for _, g in itertools.groupby(test, lambda x: x.partition('_')[0])]"
How do I use the HTMLUnit driver with Selenium from Python?,driver.get('http://www.google.com')
"Using Python's datetime module, can I get the year that UTC-11 is currently in?",(datetime.datetime.utcnow() - datetime.timedelta(hours=11)).year
How to find the difference between 3 lists that may have duplicate numbers,"Counter([1, 2, 2, 2, 3]) - Counter([1, 2])"
How to remove tags from a string in python using regular expressions? (NOT in HTML),"re.sub('<[^>]*>', '', mystring)"
How can I unpack binary hex formatted data in Python?,data.encode('hex')
How to do a less than or equal to filter in Django queryset?,User.objects.filter(userprofile__level__gte=0)
How to use Beautiful Soup to find a tag with changing id?,soup.findAll(id=re.compile('para$'))
How to use Beautiful Soup to find a tag with changing id?,"soup.select('div[id^=""value_xxx_c_1_f_8_a_""]')"
How to delete an item in a list if it exists?,cleaned_list = [x for x in some_list if x is not thing]
user input and commandline arguments,var = input('Please enter something: ')
Add to integers in a list,foo.append(4)
Add to integers in a list,"foo.append([8, 7])"
Add to integers in a list,"x.insert(2, 77)"
Removing white space around a saved image in matplotlib,"plt.savefig('test.png', bbox_inches='tight')"
concatenate lists,(listone + listtwo)
concatenate lists,"for item in itertools.chain(listone, listtwo):
    pass"
how do you filter pandas dataframes by multiple columns,males = df[(df[Gender] == 'Male') & (df[Year] == 2014)]
How to print backslash with Python?,print('\\')
How to replace values with None in Pandas data frame in Python?,"df.replace('-', np.nan)"
Delete column from pandas DataFrame,"df = df.drop('column_name', 1)"
Delete column from pandas DataFrame,"df.drop(df.columns[[0, 1, 3]], axis=1)"
Delete column from pandas DataFrame,"df.drop('column_name', axis=1, inplace=True)"
Disable abbreviation in argparse,parser = argparse.ArgumentParser(allow_abbrev=False)
Extract dictionary value from column in data frame,feature3 = [d.get('Feature3') for d in df.dic]
How to access pandas groupby dataframe by key,"df.loc[gb.groups['foo'], ('A', 'B')]"
String formatting in Python,"print('[%s, %s, %s]' % (1, 2, 3))"
String formatting in Python,"print('[{0}, {1}, {2}]'.format(1, 2, 3))"
Accessing Python dict values with the key start characters,"[v for k, v in list(my_dict.items()) if 'Date' in k]"
Python date string formatting,"""""""{0.month}/{0.day}/{0.year}"""""".format(my_date)"
Dropping a single (sub-) column from a MultiIndex,"df.drop(('col1', 'a'), axis=1)"
Dropping a single (sub-) column from a MultiIndex,"df.drop('a', level=1, axis=1)"
Build Dictionary in Python Loop - List and Dictionary Comprehensions,{_key: _value(_key) for _key in _container}
How to click on the text button using selenium python,browser.find_element_by_class_name('section-select-all').click()
"Python - Combine two dictionaries, concatenate string values?","dict((k, d.get(k, '') + d1.get(k, '')) for k in keys)"
How to generate unique equal hash for equal dictionaries?,hash(pformat(a)) == hash(pformat(b))
How to convert nested list of lists into a list of tuples in python 3.3?,"list(map(tuple, [['tom', 'cat'], ['jerry', 'mouse'], ['spark', 'dog']]))"
Summing across rows of Pandas Dataframe,"df.groupby(['stock', 'same1', 'same2'], as_index=False)['positions'].sum()"
Summing across rows of Pandas Dataframe,"df.groupby(['stock', 'same1', 'same2'])['positions'].sum().reset_index()"
change a string into uppercase,s.upper()
"Splitting a semicolon-separated string to a dictionary, in Python",dict(item.split('=') for item in s.split(';'))
how to set cookie in python mechanize,"br.addheaders = [('Cookie', 'cookiename=cookie value')]"
How to remove square bracket from pandas dataframe,df['value'] = df['value'].str[0]
How to remove square bracket from pandas dataframe,df['value'] = df['value'].str.get(0)
How to remove square bracket from pandas dataframe,df['value'] = df['value'].str.strip('[]')
Python getting a string (key + value) from Python Dictionary,""""""", """""".join(['{}_{}'.format(k, v) for k, v in d.items()])"
Easier way to add multiple list items?,sum(sum(x) for x in lists)
testing whether a Numpy array contains a given row,"any(np.equal(a, [1, 2]).all(1))"
How do I check if all elements in a list are the same?,len(set(mylist)) == 1
How to split a string at line breaks in python?,"[map(int, x.split('\t')) for x in s.rstrip().split('\r\n')]"
Create a hierarchy from a dictionary of lists,"t = sorted(list(a.items()), key=lambda x: x[1])"
Search for string in txt file,"if ('blabla' in open('example.txt').read()):
    pass"
Search for string in txt file,"f = open('example.txt')
s = mmap.mmap(f.fileno(), 0, access=mmap.ACCESS_READ)
if (s.find('blabla') != (-1)):
    pass"
Search for string in txt file,"datafile = file('example.txt')
found = False
for line in datafile:
    if (blabla in line):
        return True
return False"
Replacing the empty strings in a string,"string2.replace('', string1)[len(string1):-len(string1)]"
getting every possible combination in a list,"list(itertools.combinations([1, 2, 3, 4, 5, 6], 2))"
Python 3: How do I get a string literal representation of a byte string?,"""""""x = {}"""""".format(x.decode('utf8')).encode('utf8')"
Checking whether a variable is an integer,"isinstance(x, int)"
Checking whether a variable is an integer,(type(x) == int)
Play a Sound with Python,"winsound.PlaySound('sound.wav', winsound.SND_FILENAME)"
How to get the n next values of a generator in a list (python),[next(it) for _ in range(n)]
How to get the n next values of a generator in a list (python),"list(itertools.islice(it, 0, n, 1))"
How can I compare two lists in python and return matches,set(a).intersection(b)
How can I compare two lists in python and return matches,"[i for i, j in zip(a, b) if i == j]"
"How to print a list with integers without the brackets, commas and no quotes?","print(''.join(map(str, data)))"
python regex: match a string with only one instance of a character,"re.match('\\$[0-9]+[^\\$]*$', '$1 off delicious $5 ham.')"
How to import a module in Python with importlib.import_module,"importlib.import_module('.c', 'a.b')"
How to import a module in Python with importlib.import_module,importlib.import_module('a.b.c')
how to convert 2d list to 2d numpy array?,a = np.array(a)
Python regular expression for Beautiful Soup,"soup.find_all('div', class_=re.compile('comment-'))"
A sequence of empty lists of length n in Python?,[[] for _ in range(n)]
create dictionary from list of variables,"dict((k, globals()[k]) for k in ('foo', 'bar'))"
How to get two random records with Django,MyModel.objects.order_by('?')[:2]
How to use a dot in Python format strings?,"""""""Hello {user[name]}"""""".format(**{'user': {'name': 'Markus'}})"
Python: using a dict to speed sorting of a list of tuples,list_dict = {t[0]: t for t in tuple_list}
Generate random integers between 0 and 9,"randint(0, 9)"
Generate random integers between 0 and 9,"random.randint(a, b)"
Generate random integers between 0 and 9,"print((random.randint(0, 9)))"
